usec,Time_Of_Day_Seconds,Core,CPU,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,CoreThr,PkgTmp,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,CPU%LPI,SYS%LPI,PkgWatt,CorWatt,GFXWatt,RAMWatt,PKG_%,RAM_%,UncMHz
5658,1737210241.192014,-,-,-,-,1155,60.37,1914,2711,0.45,40215,0,628,8186,8775,4189,12703,6,3191,20,460,0.03,2.69,4.43,3.45,20.43,0.0,7.66,0.03,1.16,22.93,2.58,12.68,1.43,56.0,0.0,56.0,149.58,86.65,76.35,64.6,1.15,0.22,0.0,0.0,0.0,0.0,0.0,7.72,4.03,0.84,1.93,0.0,0.0,1400.0
2499,1737210246.202308,-,-,-,-,1096,60.66,1807,2713,0.53,40384,0,396,6237,8380,4151,12102,2,3446,19,554,0.02,1.95,4.37,3.39,19.54,0.01,8.81,0.03,1.51,22.67,2.52,12.39,1.76,59.0,0.0,59.0,152.15,88.39,75.13,64.57,0.88,0.15,0.0,0.0,0.0,0.0,0.0,7.14,3.52,0.79,1.89,0.0,0.0,2600.0
2055,1737210251.209861,-,-,-,-,1517,55.26,2744,2712,0.4,40885,0,986,14236,8587,4934,14753,1,2995,16,483,0.04,4.94,4.61,4.07,23.22,0.0,6.89,0.02,1.24,26.9,2.94,13.74,1.16,63.0,0.0,63.0,138.87,81.63,80.45,64.56,1.31,0.16,0.0,0.0,0.0,0.0,0.0,11.04,7.17,0.93,2.05,0.0,0.0,2900.0
2997,1737210256.217972,-,-,-,-,1396,57.92,2410,2712,0.47,40378,0,658,10438,8089,4220,13591,5,3242,18,545,0.04,3.42,4.22,3.54,21.6,0.01,8.07,0.04,1.42,24.74,2.46,13.19,1.69,57.0,0.0,57.0,146.68,85.71,79.22,66.17,0.87,0.11,0.0,0.0,0.0,0.0,0.0,9.37,5.6,0.86,2.02,0.0,0.0,1800.0
1096,1737210261.22412,-,-,-,-,1129,54.9,2056,2713,0.5,38900,0,561,8981,8389,4438,14065,6,3682,32,644,0.03,2.65,4.53,3.73,23.16,0.01,9.37,0.05,1.87,25.43,2.89,14.62,2.16,60.0,0.0,60.0,141.4,84.42,76.12,62.1,1.05,0.14,0.0,0.0,0.0,0.0,0.0,7.85,4.2,0.8,1.91,0.0,0.0,2300.0
2154,1737210266.231154,-,-,-,-,2164,76.11,2843,2712,0.48,45615,0,617,7721,4946,2925,7880,10,1686,13,198,0.03,2.52,2.73,2.5,11.6,0.01,4.02,0.02,0.51,16.85,1.33,5.11,0.6,71.0,0.0,71.0,178.22,97.8,79.94,77.59,0.12,0.03,0.0,0.0,0.0,0.0,0.0,13.41,9.49,0.93,2.19,0.0,0.0,2900.0
1189,1737210271.238629,-,-,-,-,1505,63.77,2360,2712,0.49,44706,0,1100,9630,6681,3921,12312,15,2576,13,260,0.05,2.8,4.01,3.36,19.58,0.02,6.0,0.01,0.6,22.33,2.28,10.66,0.96,58.0,0.0,58.0,155.2,88.73,76.96,66.79,0.65,0.09,0.0,0.0,0.0,0.0,0.0,10.5,6.72,0.9,1.97,0.0,0.0,2600.0
2427,1737210276.246588,-,-,-,-,1170,57.55,2033,2712,0.52,39876,0,1001,10342,7724,4234,13653,22,3267,13,528,0.04,3.0,4.35,3.74,22.17,0.04,8.08,0.02,1.26,25.08,2.67,13.1,1.59,61.0,0.0,61.0,146.32,85.86,75.76,63.2,0.95,0.13,0.0,0.0,0.0,0.0,0.0,8.37,4.66,0.86,1.89,0.0,0.0,2600.0
6166,1737210281.259097,-,-,-,-,1342,63.61,2110,2711,0.47,41927,0,845,11041,7557,4201,12334,4,2489,12,365,0.03,3.53,3.94,3.63,19.05,0.0,5.42,0.04,0.87,22.56,2.55,10.65,0.62,57.0,0.0,57.0,154.27,87.32,79.68,68.21,0.8,0.06,0.0,0.0,0.0,0.0,0.0,9.26,5.51,0.88,1.96,0.0,0.0,1000.0
1212,1737210286.266272,-,-,-,-,1228,59.94,2048,2713,0.49,40419,0,604,9708,7765,4361,12719,10,3214,9,440,0.04,3.24,4.27,3.68,20.16,0.01,7.87,0.01,1.03,23.49,2.67,12.33,1.57,59.0,0.0,59.0,148.49,86.04,76.98,64.75,1.21,0.16,0.0,0.0,0.0,0.0,0.0,8.25,4.52,0.85,1.94,0.0,0.0,2200.0
